Reward:-226.744 | Episode:260 | Qmax:-50.1353 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:270 | Qmax:-51.6575 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:280 | Qmax:-52.8203 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:290 | Qmax:-53.9347 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-77.228 | Episode:300 | Qmax:-55.0687 | Episode Length:49 |  False | Age:39.000 | Credit Amt:3007.473 | Duration:41.022 | 
Reward:-30.511 | Episode:310 | Qmax:-56.0961 | Episode Length:49 |  False | Age:39.000 | Credit Amt:4914.278 | Duration:41.973 | 
Reward:-226.744 | Episode:320 | Qmax:-56.9385 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:330 | Qmax:-58.1501 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:340 | Qmax:-59.3150 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-28.561 | Episode:350 | Qmax:-60.3469 | Episode Length:49 |  False | Age:39.000 | Credit Amt:5198.955 | Duration:41.973 | 
Reward:-216.751 | Episode:360 | Qmax:-61.3010 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:34.871 | 
Reward:-80.853 | Episode:370 | Qmax:-61.5137 | Episode Length:7 |  True | Age:29.115 | Credit Amt:1912.672 | Duration:32.444 | 
Reward:-102.801 | Episode:380 | Qmax:-61.7418 | Episode Length:7 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:31.588 | 
Reward:-56.831 | Episode:390 | Qmax:-61.9852 | Episode Length:8 |  True | Age:29.048 | Credit Amt:2053.456 | Duration:28.485 | 
Reward:-55.913 | Episode:400 | Qmax:-62.0952 | Episode Length:7 |  True | Age:29.183 | Credit Amt:2062.099 | Duration:27.753 | 
Reward:-16.503 | Episode:410 | Qmax:-62.3185 | Episode Length:7 |  True | Age:29.000 | Credit Amt:2337.727 | Duration:27.729 | 
Reward:-5.798 | Episode:420 | Qmax:-62.3000 | Episode Length:13 |  True | Age:29.000 | Credit Amt:2515.140 | Duration:21.973 | 
Reward:-213.750 | Episode:430 | Qmax:-61.9581 | Episode Length:49 |  False | Age:29.000 | Credit Amt:11805.176 | Duration:41.973 | 
Reward:-13.172 | Episode:440 | Qmax:-62.6202 | Episode Length:49 |  False | Age:29.000 | Credit Amt:7875.915 | Duration:41.973 | 
Reward:-118.459 | Episode:450 | Qmax:-62.5752 | Episode Length:49 |  False | Age:29.000 | Credit Amt:2398.345 | Duration:41.973 | 
Reward:-219.575 | Episode:460 | Qmax:-62.5331 | Episode Length:49 |  False | Age:36.279 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:470 | Qmax:-63.1740 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:480 | Qmax:-63.4324 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-81.662 | Episode:490 | Qmax:-63.7310 | Episode Length:9 |  True | Age:29.405 | Credit Amt:1908.945 | Duration:32.462 | 
Reward:-226.744 | Episode:500 | Qmax:-63.8679 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-104.974 | Episode:510 | Qmax:-64.4569 | Episode Length:13 |  True | Age:29.147 | Credit Amt:1805.176 | Duration:36.688 | 
Reward:-91.487 | Episode:520 | Qmax:-64.5390 | Episode Length:20 |  True | Age:29.000 | Credit Amt:1861.569 | Duration:33.967 | 
Reward:-65.175 | Episode:530 | Qmax:-64.6321 | Episode Length:21 |  True | Age:30.309 | Credit Amt:2003.526 | Duration:29.619 | 
Reward:-222.200 | Episode:540 | Qmax:-64.6503 | Episode Length:49 |  False | Age:37.980 | Credit Amt:1805.176 | Duration:41.537 | 
Reward:-214.773 | Episode:550 | Qmax:-64.8096 | Episode Length:49 |  False | Age:31.670 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:560 | Qmax:-65.0725 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-221.245 | Episode:570 | Qmax:-65.6324 | Episode Length:49 |  False | Age:37.108 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-107.750 | Episode:580 | Qmax:-66.0009 | Episode Length:49 |  False | Age:36.415 | Credit Amt:2556.523 | Duration:41.973 | 
Reward:-11.372 | Episode:590 | Qmax:-66.5816 | Episode Length:49 |  False | Age:29.000 | Credit Amt:6542.863 | Duration:41.973 | 
Reward:-68.484 | Episode:600 | Qmax:-66.6205 | Episode Length:49 |  False | Age:29.000 | Credit Amt:10630.803 | Duration:41.973 | 
Reward:-213.750 | Episode:610 | Qmax:-66.5308 | Episode Length:49 |  False | Age:29.000 | Credit Amt:11805.176 | Duration:41.973 | 
Reward:-213.750 | Episode:620 | Qmax:-66.3731 | Episode Length:49 |  False | Age:29.000 | Credit Amt:11805.176 | Duration:41.973 | 
Reward:-13.412 | Episode:630 | Qmax:-66.3547 | Episode Length:49 |  False | Age:29.000 | Credit Amt:8008.361 | Duration:41.895 | 
Reward:-82.469 | Episode:640 | Qmax:-66.1789 | Episode Length:12 |  True | Age:29.000 | Credit Amt:1906.069 | Duration:33.576 | 
Reward:-226.744 | Episode:650 | Qmax:-66.1146 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-105.530 | Episode:660 | Qmax:-66.1951 | Episode Length:10 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:37.368 | 
Reward:-100.026 | Episode:670 | Qmax:-66.2941 | Episode Length:7 |  True | Age:29.193 | Credit Amt:1824.421 | Duration:35.490 | 
Reward:-105.386 | Episode:680 | Qmax:-66.3159 | Episode Length:7 |  True | Age:29.000 | Credit Amt:1805.176 | Duration:37.214 | 
Reward:-214.121 | Episode:690 | Qmax:-66.4766 | Episode Length:49 |  False | Age:30.195 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-226.744 | Episode:700 | Qmax:-66.5777 | Episode Length:49 |  False | Age:39.000 | Credit Amt:1805.176 | Duration:41.973 | 
Reward:-181.038 | Episode:710 | Qmax:-66.5324 | Episode Length:49 |  False | Age:39.000 | Credit Amt:2044.133 | Duration:41.973 | 
